month;weekday;day;hour;workday;temperature;r_temperature;wind;humidity;dew_point;pressure;seasonN;qtd
1;1;1;0;0;8;5;15;37;-6;1015;1;1
1;1;1;1;0;7;4;15;38;-6;1015;1;1
1;1;1;2;0;6;3;18;44;-5;1016;1;1
1;1;1;3;0;6;3;14;48;-5;1017;1;1
1;1;1;4;0;5;3;7;50;-5;1017;1;1
1;1;1;5;0;4;2;7;56;-4;1018;1;1
1;1;1;6;0;4;4;3;61;-3;1020;1;1
1;1;1;7;0;4;3;4;63;-2;1020;1;1
1;1;1;8;0;6;6;2;56;-2;1021;1;1
1;1;1;9;0;7;7;0;53;-2;1022;1;1
1;1;1;10;0;8;8;3;49;-2;1023;1;1
1;1;1;11;0;11;11;11;45;-1;1023;1;1
1;1;1;12;0;12;12;10;44;0;1023;1;1
1;1;1;13;0;13;13;8;44;1;1023;1;2
1;1;1;14;0;13;13;7;44;1;1023;1;2
1;1;1;15;0;12;12;6;46;1;1024;1;2
1;1;1;16;0;11;10;7;51;1;1025;1;1
1;1;1;17;0;9;8;6;59;1;1026;1;1
1;1;1;18;0;8;6;11;62;1;1026;1;1
1;1;1;19;0;8;7;5;56;0;1027;1;1
1;1;1;20;0;8;8;0;53;-1;1028;1;1
1;1;1;21;0;7;7;0;67;1;1028;1;1
1;1;1;22;0;7;6;6;67;1;1028;1;1
1;1;1;23;0;8;6;9;62;1;1028;1;1
1;2;2;0;0;8;7;3;62;1;1028;1;1
1;2;2;1;0;8;8;0;64;1;1028;1;1
1;2;2;2;0;7;6;5;76;3;1029;1;1
1;2;2;3;0;6;4;9;81;3;1029;1;1
1;2;2;4;0;6;4;11;87;4;1029;1;1
1;2;2;5;0;5;2;17;93;4;1029;1;1
1;2;2;6;0;5;2;16;93;4;1028;1;1
1;2;2;7;0;5;2;14;98;5;1028;1;1
1;2;2;8;0;6;3;12;96;5;1028;1;1
1;2;2;9;0;6;3;12;98;6;1028;1;1
1;2;2;10;0;7;5;13;95;6;1028;1;1
1;2;2;11;0;7;5;13;97;7;1027;1;1
1;2;2;12;0;7;4;15;100;7;1026;1;1
1;2;2;13;0;7;4;16;96;6;1025;1;1
1;2;2;14;0;7;4;15;96;6;1025;1;1
1;2;2;15;0;7;4;18;93;6;1025;1;1
1;2;2;16;0;7;4;16;93;6;1025;1;1
1;2;2;17;0;7;4;17;93;6;1024;1;1
1;2;2;18;0;7;4;15;98;7;1024;1;1
1;2;2;19;0;7;4;15;96;6;1024;1;1
1;2;2;20;0;7;4;14;93;6;1023;1;1
1;2;2;21;0;7;4;14;93;6;1023;1;1
1;2;2;22;0;7;4;15;93;6;1022;1;1
1;2;2;23;0;7;4;13;95;6;1022;1;1
1;3;3;0;1;6;3;13;100;6;1020;1;1
1;3;3;1;1;6;3;15;100;6;1020;1;1
1;3;3;2;1;6;4;12;100;6;1020;1;1
1;3;3;4;1;6;3;15;100;6;1016;1;1
1;3;3;5;1;6;4;12;100;6;1016;1;1
1;3;3;6;1;6;4;11;100;6;1015;1;1
1;3;3;7;1;6;4;11;100;6;1014;1;1
1;3;3;8;1;6;3;12;100;6;1012;1;1
1;3;3;9;1;6;3;15;100;6;1011;1;1
1;3;3;10;1;7;6;6;97;7;1011;1;1
1;3;3;11;1;7;5;9;99;7;1010;1;1
1;3;3;12;1;7;5;8;100;7;1008;1;1
1;3;3;13;1;8;7;5;93;7;1006;1;1
1;3;3;14;1;7;7;2;99;7;1005;1;1
1;3;3;15;1;7;7;2;100;7;1004;1;1
1;3;3;16;1;7;6;7;98;7;1003;1;1
1;3;3;17;1;8;6;11;93;7;1002;1;2
1;3;3;18;1;8;6;9;91;7;1002;1;2
1;3;3;19;1;8;7;8;87;6;1002;1;1
1;3;3;20;1;8;7;4;92;6;1002;1;1
1;3;3;21;1;7;5;12;100;7;1001;1;1
1;3;3;22;1;7;6;8;97;7;1001;1;1
1;3;3;23;1;8;7;7;100;8;1001;1;1
1;4;4;0;1;7;5;11;100;7;1000;1;1
1;4;4;1;1;8;6;10;100;8;1000;1;1
1;4;4;2;1;8;6;12;100;8;1000;1;1
1;4;4;3;1;8;7;6;100;8;1000;1;1
1;4;4;4;1;8;7;8;100;8;1000;1;1
1;4;4;5;1;8;7;7;100;8;1000;1;1
1;4;4;6;1;7;6;8;100;7;1001;1;1
1;4;4;7;1;7;4;15;100;7;1001;1;2
1;4;4;8;1;8;5;14;100;8;1001;1;3
1;4;4;9;1;8;7;8;100;8;1002;1;2
1;4;4;10;1;9;8;6;100;9;1003;1;1
1;4;4;11;1;11;11;10;82;8;1003;1;1
1;4;4;12;1;13;13;17;65;6;1002;1;1
1;4;4;13;1;14;14;23;52;4;1002;1;1
1;4;4;14;1;13;13;26;40;0;1003;1;1
1;4;4;15;1;12;12;25;32;-4;1004;1;2
1;4;4;16;1;11;9;21;30;-6;1005;1;2
1;4;4;17;1;9;6;23;26;-10;1006;1;3
1;4;4;18;1;8;4;25;24;-12;1007;1;2
1;4;4;19;1;6;2;23;24;-13;1009;1;2
1;4;4;20;1;5;1;19;27;-12;1010;1;1
1;4;4;21;1;4;0;21;29;-13;1011;1;1
1;4;4;22;1;3;-1;20;29;-13;1012;1;1
1;4;4;23;1;2;-2;16;33;-12;1012;1;1
1;5;5;0;1;1;-3;13;37;-12;1013;1;1
1;5;5;1;1;1;-3;14;37;-12;1013;1;1
